Order,Keywords,StudyType,Replicates,DistType,DistMechanism,DistShape,Lat,Long,Country,Sal_Low,Sal_High,Sal_Mean,Depth_m,Depth_ShallowDeep,Depth_Cat,StudyDuration_months,DistMonth,DistMonth_num,MeadowSizeStart_m2,MeadowSizeEnd_m2,DisturbanceArea_m2,DisturbancePerimeter_m,Perc_AboveGroundReduction,LagTime,Recovery_YorN,Recovery_EstOrExact,Recovery_months,Perc_RecoveryDuringStudy,Recovery_Trajectory,Recovery_Mechanism,Mixed_Mono,NumSpecies,Species
2,asexual reproduction; climate change; gap; Halophila nipponica; recolonization; Zostera marina,Experiment,4,Physical,Anchoring and boat propeller scarring,Square,34.728,128.035,South Korea,NA,NA,NA,-2.5 to -3,Shallow,Subtidal,10.1,September,9,NA,NA,0.25,2,100,0,Yes,Exact,9,100,Linear,Clonal,Mixed,2,"Halophila nipponica, Zostera marina"
3,seascape; seagrasses; dynamics; anthropogenic impacts; management; conservation,Observation,3,Physical,Anchoring (anthropogenic) and Sand Patches (natural),Irregular,42.562,8.781,France,NA,NA,NA,-10,Shallow,Subtidal,36,NA,NA,NA,NA,1,NA,NA,NA,No,Estimated,NA,NA,NA,NA,Mono,1,Posidonia oceanica
3,,Observation,3,Physical,Anchoring (anthropogenic) and Sand Patches (natural),Irregular,42.562,8.781,France,NA,NA,NA,-15,Deep,Subtidal,36,NA,NA,NA,NA,0.83,NA,NA,NA,No,Estimated,324,NA,NA,NA,Mono,1,Posidonia oceanica
3,,Observation,3,Physical,Anchoring (anthropogenic) and Sand Patches (natural),Irregular,42.562,8.781,France,NA,NA,NA,-20,Deep,Subtidal,36,NA,NA,NA,NA,90.6,NA,NA,NA,No,Estimated,720,NA,NA,NA,Mono,1,Posidonia oceanica
6,,Experiment,27,Natural,Natural mass mortalities,Square,19.871,-16.297,Mauritania,NA,NA,NA,NA,NA,Intertidal,36,January,1,500000000,500000000,1,4,100,0,Yes,Exact,16,100,Linear,Clonal,Mixed,3,"Zostera noltii, Halodule wrightii, Cymodocea nodosa"
6,,Experiment,3,Natural,Natural mass mortalities,Square,19.871,-16.297,Mauritania,NA,NA,NA,NA,NA,Intertidal,36,January,1,500000000,500000000,9,12,100,0,No,Estimated,29,80,Linear,Clonal,Mixed,3,"Zostera noltii, Halodule wrightii, Cymodocea nodosa"
6,,Experiment,27,Natural,Natural mass mortalities,Square,19.871,-16.297,Mauritania,NA,NA,NA,NA,NA,Intertidal,36,January,1,500000000,500000000,1,4,100,0,No,Estimated,33,75,Linear,Clonal,Mixed,3,"Zostera noltii, Halodule wrightii, Cymodocea nodosa"
6,,Experiment,3,Natural,Natural mass mortalities,Square,19.871,-16.297,Mauritania,NA,NA,NA,NA,NA,Intertidal,36,January,1,500000000,500000000,9,12,100,0,No,Estimated,60,40,Linear,Clonal,Mixed,3,"Zostera noltii, Halodule wrightii, Cymodocea nodosa"
7,,Observation,NA,Chemical,"Unexplained, thought to be eutrophication/turbidity",Irregular,-36.846,174.717,New Zealand,NA,NA,NA,NA,NA,Intertidal,192,NA,NA,0,435100,NA,NA,100,NA,NA,NA,NA,NA,Nonlinear,NA,Mono,1,Zostera muelleri
8,Physical disturbance; seagrass; resilience; Zostera marina,Observation,3,Physical,Shellfishing - Clams,Irregular,42.203,-8.798,Spain,NA,NA,NA,-1 to -5,Shallow,Subtidal,4.1,October to April,10,3000,3600,10,NA,60,0,Yes,Exact,2,100,Nonlinear,Clonal,Mono,1,Zostera marina
