Date,ExpAge,MeadowLocation,Treatment,Site_no,Site_name,EdgeDistance,StemDensity_QrtMeter
6/4/2020,0,Central,Control,1,1C,0.5,81
6/4/2020,0,Central,Control,1,1C,1.5,97
6/4/2020,0,Central,Control,1,1C,2.5,78
6/4/2020,0,Central,Treatment,1,1T,0.5,116
6/4/2020,0,Central,Treatment,1,1T,1.5,81
6/4/2020,0,Central,Treatment,1,1T,2.5,77
6/4/2020,0,Central,Control,2,2C,0.5,91
6/4/2020,0,Central,Control,2,2C,1.5,92
6/4/2020,0,Central,Control,2,2C,2.5,65
6/4/2020,0,Central,Treatment,2,2T,0.5,106
6/4/2020,0,Central,Treatment,2,2T,1.5,104
6/4/2020,0,Central,Treatment,2,2T,2.5,84
6/4/2020,0,Central,Control,3,3C,0.5,76
6/4/2020,0,Central,Control,3,3C,1.5,77
6/4/2020,0,Central,Control,3,3C,2.5,82
6/4/2020,0,Central,Treatment,3,3T,0.5,72
6/4/2020,0,Central,Treatment,3,3T,1.5,74
6/4/2020,0,Central,Treatment,3,3T,2.5,77
6/4/2020,0,Northern,Control,4,4C,0.5,86
6/4/2020,0,Northern,Control,4,4C,1.5,79
6/4/2020,0,Northern,Control,4,4C,2.5,77
6/4/2020,0,Northern,Treatment,4,4T,0.5,74
6/4/2020,0,Northern,Treatment,4,4T,1.5,75
6/4/2020,0,Northern,Treatment,4,4T,2.5,68
6/4/2020,0,Northern,Control,5,5C,0.5,148
6/4/2020,0,Northern,Control,5,5C,1.5,130
6/4/2020,0,Northern,Control,5,5C,2.5,136
6/4/2020,0,Northern,Treatment,5,5T,0.5,60
6/4/2020,0,Northern,Treatment,5,5T,1.5,54
6/4/2020,0,Northern,Treatment,5,5T,2.5,51
6/4/2020,0,Northern,Control,6,6C,0.5,58
6/4/2020,0,Northern,Control,6,6C,1.5,64
6/4/2020,0,Northern,Control,6,6C,2.5,62
6/4/2020,0,Northern,Treatment,6,6T,0.5,81
6/4/2020,0,Northern,Treatment,6,6T,1.5,103
6/4/2020,0,Northern,Treatment,6,6T,2.5,49
7/15/2020,1,Central,Control,1,1C,0.5,107
7/15/2020,1,Central,Control,1,1C,1.5,97
7/15/2020,1,Central,Control,1,1C,2.5,93
7/15/2020,1,Central,Treatment,1,1T,0.5,3
7/15/2020,1,Central,Treatment,1,1T,1.5,9
7/15/2020,1,Central,Treatment,1,1T,2.5,7
7/15/2020,1,Central,Control,2,2C,0.5,76
7/15/2020,1,Central,Control,2,2C,1.5,122
7/15/2020,1,Central,Control,2,2C,2.5,97
7/15/2020,1,Central,Treatment,2,2T,0.5,5
7/15/2020,1,Central,Treatment,2,2T,1.5,7
7/15/2020,1,Central,Treatment,2,2T,2.5,9
7/15/2020,1,Central,Control,3,3C,0.5,116
7/15/2020,1,Central,Control,3,3C,1.5,119
7/15/2020,1,Central,Control,3,3C,2.5,132
7/15/2020,1,Central,Treatment,3,3T,0.5,8
